date,number,winners,page,pédantix,pedantix,cémantix,cemantix,is_holiday,visitor,difficulty_mean,difficulty_std
2022-07-29,77,18598,Masse volumique,4.0,21.0,13.0,71.0,True,,0.8185409290529205,0.12118612554806996
2022-07-30,78,14906,Virginité,4.0,17.0,8.0,73.0,True,,0.8823837565313912,0.10551266410450898
2022-07-31,79,15413,Témoins de Jéhovah,0.0,22.0,12.0,86.0,True,,0.9080389150371607,0.07977006802325133
2022-08-01,80,19666,Alexandrie,5.0,18.0,13.0,75.0,True,,0.8631938906218519,0.10571981284895039
2022-08-02,81,18556,Physique du solide,4.0,20.0,9.0,65.0,True,,0.8176656235203082,0.13759887650857794
2022-08-03,82,20501,Stendhal,4.0,23.0,13.0,65.0,True,,0.8996468754462419,0.09619784786172825
2022-08-04,83,20074,Oscars du cinéma,6.0,24.0,9.0,72.0,True,,0.858485693586866,0.13872752114940182
2022-08-05,84,15333,Art hellénistique,6.0,27.0,9.0,50.0,True,,0.7436055518793367,0.09005285138370996
2022-08-06,85,12866,Projet Manhattan,4.0,24.0,12.0,93.0,True,,0.83110682523463,0.08881555725148384
2022-08-07,86,14191,Actinide,5.0,27.0,9.0,70.0,True,,0.8327295479988326,0.11317377991863072
2022-08-08,87,19294,Minneapolis,0.0,24.0,10.0,74.0,True,,0.8292318254653894,0.13345466902227154
2022-08-09,88,11591,Homotopie,6.0,37.0,13.0,62.0,True,,0.5361974482560672,0.07184065632467443
2022-08-10,89,17942,Guerre civile du Sri Lanka,4.0,25.0,11.0,86.0,True,,0.8185228761805221,0.10566655560532388
2022-08-11,90,16038,Drone,6.0,20.0,18.0,98.0,True,,0.7377798477480737,0.10005914550578048
2022-08-12,91,20447,Guadeloupe,4.0,19.0,10.0,66.0,True,,0.9093758016085852,0.0933988782865686
2022-08-13,92,12775,Horatio Nelson,0.0,22.0,11.0,89.0,True,,0.8016827185765641,0.12284714464057342
2022-08-14,93,14221,Langage de programmation,5.0,24.0,10.0,74.0,True,,0.8261293400289156,0.12105053743592964
2022-08-15,94,17900,Comédie,0.0,23.0,8.0,72.0,True,,0.7973229885481583,0.1016392309117003
2022-08-16,95,18021,Triton (lune),3.0,26.0,8.0,79.0,True,,0.8036874649574421,0.10341122501260279
2022-08-17,96,16220,Hernando de Soto (conquistador),5.0,23.0,12.0,88.0,True,,0.7400198416348113,0.10347317292172444
2022-08-18,97,16917,Coleoptera,5.0,28.0,12.0,78.0,True,,0.7720975389868585,0.10216329811263426
2022-08-19,98,14908,Organisme génétiquement modifié,6.0,27.0,12.0,100.0,True,,0.7377623811870031,0.09895661172716505
2022-08-20,99,10812,Absolu (philosophie),4.0,29.0,10.0,86.0,True,,0.7065889033656977,0.10153121070134638
2022-08-21,100,20370,Grèce,5.0,17.0,12.0,76.0,True,,0.9640150501111064,0.05627836560365302
2022-08-22,101,23138,Tunisie,4.0,19.0,11.0,66.0,True,,0.9214565103836871,0.0858035286163548
2022-08-23,102,17971,Empire khmer,8.0,25.0,12.0,82.0,True,,0.8039517314892571,0.11811634397810634
2022-08-24,103,15085,Perspective (représentation),7.0,27.0,9.0,94.0,True,,0.6918525594618157,0.10464192447938127
2022-08-25,104,17977,Mercure (chimie),5.0,26.0,8.0,78.0,True,,0.8168628182738659,0.10242868781326422
2022-08-26,105,17866,Sulfate de sodium,4.0,27.0,11.0,83.0,True,,0.831817102120089,0.1438868894289959
2022-08-27,106,11464,Équations de Navier-Stokes,0.0,24.0,8.0,80.0,True,,0.746837025425922,0.09612046651116805
2022-08-28,107,11190,Hypertext Transfer Protocol,4.0,24.0,12.0,97.0,True,,0.6763716230714983,0.09225981417072009
2022-08-29,108,19767,Noix,5.0,25.0,6.0,72.0,True,,0.8248712737964499,0.13965758260896588
2022-08-30,109,19445,Race humaine,6.0,26.0,15.0,91.0,True,,0.8801623849322303,0.08278755361963899
2022-08-31,110,15823,Jan Hus,4.0,28.0,12.0,82.0,True,,0.7320713483667914,0.123262619405165
2022-09-01,111,23536,Amérique,5.0,20.0,12.0,69.0,True,,0.9352201839507407,0.07640389610982097
2022-09-02,112,17735,Ère de l'information,4.0,24.0,12.0,79.0,False,,0.7896818412127509,0.1061285879856636
2022-09-03,113,13445,Mickey Mouse,5.0,21.0,10.0,84.0,False,,0.8125844408349554,0.11228735298086785
2022-09-04,114,14583,Virus de l'immunodéficience humaine,0.0,24.0,6.0,67.0,False,,0.8094851372007406,0.1279361070836105
2022-09-05,115,13789,Système dynamique,5.0,26.0,10.0,83.0,False,,0.5958110240623795,0.07467516630992765
2022-09-06,116,22003,Molécule d'eau,4.0,19.0,11.0,70.0,False,,0.8651104295358251,0.10932300265316872
2022-09-07,117,17500,Industrie textile,5.0,22.0,12.0,71.0,False,,0.7495822045896023,0.11531543987024023
2022-09-08,118,16991,Compagnie néerlandaise des Indes orientales,6.0,23.0,16.0,79.0,False,,0.73613024176304,0.1003789985069799
2022-09-09,119,18472,Âge d'or de la peinture néerlandaise,6.0,20.0,10.0,72.0,False,,0.8190873544081092,0.13145237331082324
2022-09-10,120,11801,Empire parthe,0.0,18.0,7.0,51.0,False,,0.7183911101594379,0.10816513201283273
2022-09-11,121,13649,Giuseppe Garibaldi,4.0,19.0,7.0,49.0,False,,0.7865327547591402,0.1301767655177053
2022-09-12,122,19223,Pretoria,0.0,20.0,8.0,69.0,False,,0.8148823390718746,0.09960239202568605
2022-09-13,123,17493,Saké,0.0,23.0,9.0,59.0,False,,0.7643174030576801,0.10695627515055514
2022-09-14,124,17773,Capoeira,5.0,20.0,14.0,76.0,False,,0.7904346245158663,0.11617853552954575
2022-09-15,125,11272,Chaîne de Markov,4.0,28.0,11.0,84.0,False,,0.5050815214280949,0.06833563682092196
2022-09-16,126,16719,Déjeuner,6.0,24.0,11.0,85.0,False,,0.7646964108894014,0.10876691175037546
2022-09-17,127,13371,Johannesbourg,0.0,16.0,10.0,78.0,False,,0.8081547520360638,0.13251905348061785
2022-09-18,128,14199,Faucon pèlerin,5.0,17.0,7.0,64.0,False,,0.8027396784115125,0.1090609572595116
2022-09-19,129,13391,Echinodermata,6.0,25.0,11.0,67.0,False,,0.5708361673588204,0.07762394595269481
2022-09-20,130,16051,Oignon,6.0,24.0,9.0,57.0,False,,0.6857440215164651,0.10333490298570504
2022-09-21,131,12638,Variété (géométrie),5.0,32.0,12.0,73.0,False,,0.5596187850843808,0.08336414716950571
2022-09-22,132,18627,Signe du zodiaque,6.0,22.0,11.0,66.0,False,,0.8071616999025327,0.09435392138981646
2022-09-23,133,19973,Mur de Berlin,6.0,15.0,12.0,67.0,False,,0.8782026395381289,0.11438582521547992
2022-09-24,134,11452,Imprimante,0.0,21.0,8.0,68.0,False,,0.7019173621958179,0.09311396579320326
2022-09-25,135,14092,Tantale (chimie),0.0,19.0,9.0,59.0,False,,0.7771359306095579,0.12192718959933169
2022-09-26,136,21039,La Nouvelle-Orléans,5.0,20.0,11.0,73.0,False,,0.857555346284905,0.12715279692615009
2022-09-27,137,19631,Royaumes francs,5.0,15.0,11.0,58.0,False,,0.8252601657394847,0.10529661811819965
2022-09-28,138,18870,François d'Assise,5.0,22.0,11.0,64.0,False,,0.8197895974511662,0.10843406915420639
2022-09-29,139,15380,Melon (plante),6.0,20.0,12.0,65.0,False,,0.672492417300379,0.08507005845441434
2022-09-30,140,12302,Glucide,4.0,20.0,14.0,70.0,False,,0.5688223471811558,0.09245724551951662
2022-10-01,141,12916,Plutonium,0.0,19.0,7.0,64.0,False,,0.6768803508669342,0.12788936645296026
2022-10-02,142,13452,Tapisserie de Bayeux,0.0,17.0,8.0,54.0,False,,0.6639444783002826,0.12346855971777468
2022-10-03,143,15668,Psychiatrie,6.0,27.0,14.0,63.0,False,,0.5821294980891261,0.08733219174460104
2022-10-04,144,15260,Cinéma indien,5.0,23.0,17.0,69.0,False,,0.5642341743657622,0.06967097229621087
2022-10-05,145,17021,République romaine,7.0,26.0,16.0,71.0,False,,0.6428918191378274,0.11579015924670855
2022-10-06,146,12548,Mitochondrie,6.0,20.0,11.0,73.0,False,,0.47686125802071594,0.06376511589177872
2022-10-07,147,15367,Exoplanète,6.0,20.0,11.0,67.0,False,,0.605684448728602,0.08537196316095157
2022-10-08,148,9647,Procédé Haber,4.0,17.0,12.0,59.0,False,,0.5319156975124192,0.06977363344709708
2022-10-09,149,13913,Pierre Bourdieu,0.0,17.0,10.5,68.5,False,,0.7054899190812387,0.10785314684132487
2022-10-10,150,16951,Fréquence,9.0,22.0,12.0,81.0,False,,0.6253272196925982,0.0874252740601029
2022-10-11,151,18177,Histoire de l'Irak,11.0,17.0,14.0,62.0,False,,0.6929408602641903,0.08331524838907407
2022-10-12,152,16431,Dengue,8.0,28.0,14.0,81.0,False,,0.6306132568832917,0.08257260344314943
2022-10-13,153,21553,Algérie,5.0,22.0,12.0,65.0,False,,0.7797146751367161,0.10902764495267048
2022-10-14,154,14468,Milton Friedman,6.0,25.0,20.0,75.0,False,,0.5882163941254956,0.08651179776200485
2022-10-15,155,10246,Enthalpie,0.0,17.0,10.0,74.0,False,,0.5474635075326652,0.06908543575393702
2022-10-16,156,13778,Communication non verbale,0.0,18.0,10.0,68.0,False,,0.6840571654638388,0.12728462006332428
2022-10-17,157,16505,New Age,7.0,32.0,10.0,62.0,False,,0.6061021025288051,0.10171360395388286
2022-10-18,158,15068,Plotin,11.0,28.0,14.0,69.0,False,,0.5581990641713169,0.0910181160905121
2022-10-19,159,16915,Totalitarisme,9.0,24.0,8.0,72.0,False,,0.629517747535099,0.09347499141950212
2022-10-20,160,15605,Déforestation,6.0,29.0,16.0,69.0,False,,0.5976243258667081,0.08084240872072397
2022-10-21,161,15386,Lave-linge,5.0,22.0,15.0,73.0,False,,0.6182231593579947,0.08850452228175576
2022-10-22,162,11519,Mythologie nordique,0.0,17.0,5.0,64.0,True,,0.6927124081790532,0.07076721740465156
2022-10-23,163,14629,Tsunami,0.0,19.0,11.0,83.0,True,,0.7875121963129051,0.0911982823381974
2022-10-24,164,16030,John Singer Sargent,7.0,31.0,10.0,70.0,True,,0.6471650816893358,0.0859865436938051
2022-10-25,165,17349,Ursidae,6.0,22.0,13.0,68.0,True,,0.6767149860244913,0.114465761719161
2022-10-26,166,21123,Guerre de Corée,6.0,24.0,12.0,77.0,True,,0.8380808589945229,0.10834419970966312
2022-10-27,167,15697,Avoine cultivée,5.0,27.0,12.0,65.0,True,,0.6369201720784057,0.09196483766021285
2022-10-28,168,14948,Littérature de langue arabe,6.0,24.0,13.0,69.0,True,,0.655298463906205,0.07107242197540416
2022-10-29,169,11721,Métal alcalin,0.0,18.0,11.0,74.0,True,,0.6689118316174487,0.11593083518771251
2022-10-30,170,16573,Nouvelle-Zélande,0.0,14.0,6.0,54.0,True,,0.839544272101007,0.11334049405249369
2022-10-31,171,12986,Phéniciens,0.0,23.0,8.0,65.0,True,,0.5113035920373042,0.07399512937119833
2022-11-01,172,14656,Yunnan,0.0,19.0,7.0,61.0,True,,0.6256989164375867,0.0877346217730648
2022-11-02,173,17263,Guitare électrique,6.0,23.0,11.0,87.0,True,,0.7514183965241866,0.0976820154425703
2022-11-03,174,14979,Arc (architecture),9.0,29.0,13.0,80.0,True,,0.6619409598397946,0.10459791564147966
2022-11-04,175,12960,Grégoire de Nazianze,6.0,22.0,11.0,73.0,True,,0.6021783425192055,0.08276859829794762
2022-11-05,176,12065,Guerres perso-romaines,0.0,21.0,11.0,69.0,True,,0.7318236258319825,0.09150620888567296
2022-11-06,177,12353,Basile de Césarée,0.0,23.0,13.0,87.0,True,,0.6979390709377591,0.10090343383139608
2022-11-07,178,19689,Émile Zola,8.0,25.0,11.0,65.0,True,,0.8209931482537786,0.10128168086609668
2022-11-08,179,14359,Cancer colorectal,8.0,27.0,13.0,85.0,False,,0.5759097233545017,0.08452617930911555
2022-11-09,180,19027,Spider-Man,11.0,33.0,13.0,63.0,False,,0.7734276115099694,0.10776583611157035
2022-11-10,181,15787,Jack Kirby,5.0,21.0,10.0,70.0,False,,0.6312947926586739,0.08900160401511195
2022-11-11,182,12406,Philosophie de l'esprit,6.0,17.0,6.0,49.0,False,,0.5376270273248499,0.0766445500470074
2022-11-12,183,11746,Histoire de l'Égypte,5.0,24.0,7.0,75.0,False,,0.6704262886427665,0.09909336475620538
2022-11-13,184,18310,Portugal,6.0,16.0,7.0,61.0,False,,0.8967207386673124,0.11519787610446669
2022-11-14,185,20821,Basques,6.0,30.0,7.0,63.0,False,,0.8051979090680236,0.12289968771981201
2022-11-15,186,18862,Pompéi,7.0,25.0,10.0,62.0,False,,0.7447056419581408,0.12248614110186216
2022-11-16,187,18589,Insurrection de Budapest,7.0,25.0,9.0,59.0,False,,0.7664111353154547,0.1263106891755334
2022-11-17,188,16333,Camillo Cavour,8.0,20.0,10.0,56.0,False,,0.6525701724105094,0.11462193463661094
