date,number,winners,page,pédantix,pedantix,cémantix,cemantix,is_holiday
2022-11-05,176,12065,Guerres perso-romaines,0.0,21.0,11.0,69.0,True
2022-11-06,177,12353,Basile de Césarée,0.0,23.0,13.0,87.0,True
2022-11-07,178,19689,Émile Zola,8.0,25.0,11.0,65.0,True
2022-11-08,179,14359,Cancer colorectal,8.0,27.0,13.0,85.0,False
2022-11-09,180,19027,Spider-Man,11.0,33.0,13.0,63.0,False
2022-11-10,181,15787,Jack Kirby,5.0,21.0,10.0,70.0,False
2022-11-11,182,12406,Philosophie de l'esprit,6.0,17.0,6.0,49.0,False
2022-11-12,183,11746,Histoire de l'Égypte,5.0,24.0,7.0,75.0,False
2022-11-13,184,18310,Portugal,6.0,16.0,7.0,61.0,False
2022-11-14,185,20821,Basques,6.0,30.0,7.0,63.0,False
2022-11-15,186,18862,Pompéi,7.0,25.0,10.0,62.0,False
2022-11-16,187,18589,Insurrection de Budapest,7.0,25.0,9.0,59.0,False
2022-11-17,188,16333,Camillo Cavour,8.0,20.0,10.0,56.0,False
2022-11-18,189,16984,Guerre de Succession d'Autriche,6.0,24.0,13.0,89.0,False
2022-11-19,190,13098,École normale supérieure (Paris),0.0,21.0,12.0,70.0,False
2022-11-20,191,15167,Arsenic,0.0,20.0,11.0,79.0,False
2022-11-21,192,16347,Acide borique,8.0,27.0,11.0,62.0,False
2022-11-22,193,15760,Nébuleuse planétaire,7.0,24.0,13.0,66.0,False
2022-11-23,194,16635,Bételgeuse,5.0,28.0,12.0,64.0,False
2022-11-24,195,17614,Allah,7.0,22.0,12.0,57.0,False
2022-11-25,196,17844,Québec,7.0,22.0,10.0,65.0,False
2022-11-26,197,9811,Langues chamito-sémitiques,4.0,20.0,9.0,71.0,False
2022-11-27,198,14812,Francs,0.0,17.0,7.0,59.0,False
2022-11-28,199,14648,Syllabe,9.0,27.0,15.0,71.0,False
2022-11-29,200,15474,Sorcellerie,0.0,28.0,13.0,86.0,False
2022-11-30,201,17557,Guerres arabo-byzantines,4.0,27.0,9.0,63.0,False
2022-12-01,202,15876,Végétarisme,11.0,23.0,13.0,72.0,False
2022-12-02,203,14686,Philosophie antique,9.0,26.0,8.0,62.0,False
2022-12-03,204,12386,Girafe,0.0,16.0,0.0,60.0,False
2022-12-04,205,15768,Château de Versailles,0.0,17.0,7.0,70.0,False
2022-12-05,206,16995,Bison d'Europe,5.0,24.0,14.0,72.0,False
2022-12-06,207,18697,Rat,8.0,27.0,13.0,58.0,False
2022-12-07,208,15733,Respiration,11.0,23.0,11.0,61.0,False
2022-12-08,209,10696,Euphorbia pulcherrima,9.0,27.0,9.0,61.0,False
2022-12-09,210,16810,Conflit nord-irlandais,7.0,26.0,8.0,60.0,False
2022-12-10,211,10560,Athlétisme,0.0,19.0,7.0,71.0,False
2022-12-11,212,13827,Pandémie de Covid-19,0.0,16.0,13.0,67.0,False
2022-12-12,213,11256,Socialisation,11.0,30.0,10.0,61.0,False
2022-12-13,214,17215,Le Caravage,7.0,25.0,14.0,74.0,False
2022-12-14,215,18128,Mois,5.0,21.0,12.0,74.0,False
2022-12-15,216,11838,Dust Bowl,7.0,21.0,12.0,66.0,False
2022-12-16,217,13466,Vélo tout-terrain,11.0,29.0,13.0,71.0,False
2022-12-17,218,8961,Pierre Abélard,0.0,17.0,9.0,65.0,True
2022-12-18,219,13776,République centrafricaine,0.0,18.0,10.0,56.0,True
2022-12-19,220,12254,Holothurie,5.0,22.0,6.0,52.0,True
2022-12-20,221,15187,Batman,6.0,24.0,8.0,62.0,True
2022-12-21,222,14236,Grégoire VII,4.0,25.0,11.0,61.0,True
2022-12-22,223,16163,Guerres d'Italie,0.0,19.0,12.0,73.0,True
2022-12-23,224,14705,Constitution des États-Unis,0.0,19.0,10.0,77.0,True
2022-12-24,225,9904,Dynastie Qin,0.0,21.0,0.0,42.0,True
2022-12-25,226,11404,Pur-sang,0.0,22.0,7.0,80.0,True
2022-12-26,227,13640,Guerre de tranchées,5.0,22.0,7.0,71.0,True
2022-12-27,228,13437,Cicéron,4.0,17.0,9.0,71.0,True
2022-12-28,229,14677,Orange (fleuve),0.0,19.0,11.0,76.0,True
2022-12-29,230,13960,Éolienne,0.0,20.0,8.0,66.0,True
2022-12-30,231,12229,Histoire du Viêt Nam,6.0,22.0,13.0,100.0,True
2022-12-31,232,10928,Train,0.0,21.0,10.0,85.0,True
2023-01-01,233,14260,Comores (pays),0.0,22.0,8.0,75.0,True
2023-01-02,234,13453,Wayne Gretzky,8.0,23.0,11.0,81.0,True
2023-01-03,235,17610,Raisin,8.0,21.5,7.0,68.5,True
2023-01-04,236,11513,Cybernétique,8.0,26.0,14.0,94.0,False
2023-01-05,237,16223,Tracteur agricole,6.0,26.0,12.0,75.0,False
2023-01-06,238,17067,Sirène,8.0,27.0,14.0,100.0,False
2023-01-07,239,13683,Île de Pâques,0.0,18.0,7.0,76.0,False
2023-01-08,240,15810,Empire colonial français,6.0,23.0,9.0,69.0,False
2023-01-09,241,19310,John Lennon,7.0,18.0,15.0,87.0,False
2023-01-10,242,16817,Plomb,9.0,22.0,18.0,76.0,False
2023-01-11,243,17200,Sainte-Sophie (Constantinople),7.0,28.0,11.0,68.0,False
2023-01-12,244,17731,Celtes,10.0,31.0,9.0,64.0,False
2023-01-13,245,14501,Époque de Heian,9.0,24.0,10.0,59.0,False
2023-01-14,246,13985,Bhoutan,0.0,20.0,8.0,63.0,False
2023-01-15,247,16965,Genève,0.0,18.0,9.0,73.0,False
2023-01-16,248,16778,Fossile,5.0,23.0,9.0,56.0,False
2023-01-17,249,17318,Acier inoxydable,7.0,20.0,16.0,82.0,False
2023-01-18,250,18287,Conquête normande de l'Angleterre,9.0,25.0,12.0,66.0,False
2023-01-19,251,12986,Réflexion (physique),9.0,23.0,8.0,62.0,False
2023-01-20,252,18504,Guerre de Quatre-Vingts Ans,6.0,22.0,10.0,78.0,False
2023-01-21,253,10997,Révolte des cipayes,0.0,19.0,10.0,75.0,False
